Position	Value	Chip	X	Y
--------	-----	----	-	-
18291		0x01	0	115	71
18292		0x01	0	116	71
24812		0x01	0	236	96
27664		0x01	0	16	108
31014		0x01	0	38	121
32997		0x01	0	229	128
33844		0x01	0	52	132
35918		0x01	0	78	140
38712		0x01	0	56	151
43010		0x01	0	2	168
43784		0x01	0	8	171
46100		0x01	0	20	180
52406		0x01	0	182	204
58784		0x01	0	160	229
65489		0x01	0	209	255
65922		0x01	1	130	1
67304		0x01	1	232	6
67990		0x01	1	150	9
68175		0x01	1	79	10
68213		0x01	1	117	10
68615		0x01	1	7	12
68990		0x17	1	126	13
69260		0x01	1	140	14
71442		0x01	1	18	23
71572		0x17	1	148	23
71628		0x01	1	204	23
71820		0x01	1	140	24
72828		0x01	1	124	28
73108		0x0F	1	148	29
73759		0x01	1	31	32
75545		0x01	1	25	39
77143		0x01	1	87	45
78213		0x01	1	133	49
79783		0x01	1	167	55
80146		0x01	1	18	57
80992		0x01	1	96	60
81644		0x01	1	236	62
82365		0x01	1	189	65
82366		0x01	1	190	65
82572		0x01	1	140	66
82732		0x01	1	44	67
83404		0x01	1	204	69
83420		0x01	1	220	69
83941		0x01	1	229	71
84120		0x01	1	152	72
84153		0x01	1	185	72
84390		0x01	1	166	73
84599		0x01	1	119	74
84969		0x01	1	233	75
85100		0x01	1	108	76
85196		0x01	1	204	76
85392		0x17	1	144	77
85502		0x01	1	254	77
86186		0x01	1	170	80
86668		0x01	1	140	82
87214		0x01	1	174	84
87700		0x01	1	148	86
88332		0x01	1	12	89
89267		0x01	1	179	92
89731		0x01	1	131	94
90224		0x01	1	112	96
90329		0x01	1	217	96
90584		0x01	1	216	97
91976		0x01	1	72	103
92131		0x01	1	227	103
92153		0x01	1	249	103
92763		0x01	1	91	106
92796		0x01	1	124	106
92890		0x01	1	218	106
93641		0x01	1	201	109
93916		0x01	1	220	110
94095		0x01	1	143	111
94455		0x01	1	247	112
94669		0x01	1	205	113
95406		0x01	1	174	116
95706		0x01	1	218	117
95754		0x01	1	10	118
96159		0x01	1	159	119
96247		0x01	1	247	119
96259		0x01	1	3	120
97368		0x01	1	88	124
98796		0x01	1	236	129
99445		0x01	1	117	132
99492		0x01	1	164	132
99825		0x01	1	241	133
99828		0x01	1	244	133
99966		0x0F	1	126	134
100254		0x01	1	158	135
100315		0x01	1	219	135
100316		0x01	1	220	135
101335		0x01	1	215	139
101520		0x01	1	144	140
101776		0x1B	1	144	141
102056		0x01	1	168	142
102631		0x01	1	231	144
102811		0x01	1	155	145
103038		0x01	1	126	146
103124		0x01	1	212	146
103328		0x01	1	160	147
103418		0x01	1	250	147
103828		0x01	1	148	149
104083		0x01	1	147	150
104094		0x01	1	158	150
104347		0x01	1	155	151
104396		0x01	1	204	151
104437		0x01	1	245	151
104809		0x01	1	105	153
104810		0x01	1	106	153
105394		0x01	1	178	155
105924		0x01	1	196	157
106906		0x01	1	154	161
107127		0x01	1	119	162
107374		0x01	1	110	163
107461		0x01	1	197	163
107697		0x01	1	177	164
107771		0x01	1	251	164
107972		0x01	1	196	165
108656		0x01	1	112	168
110021		0x01	1	197	173
110081		0x01	1	1	174
110251		0x01	1	171	174
110714		0x01	1	122	176
110864		0x01	1	16	177
111006		0x01	1	158	177
111240		0x01	1	136	178
111246		0x01	1	142	178
111808		0x01	1	192	180
112062		0x01	1	190	181
112130		0x01	1	2	182
112943		0x01	1	47	185
113076		0x01	1	180	185
114067		0x01	1	147	189
114325		0x01	1	149	190
114326		0x01	1	150	190
114348		0x01	1	172	190
115013		0x01	1	69	193
115177		0x01	1	233	193
115291		0x01	1	91	194
115292		0x01	1	92	194
115321		0x01	1	121	194
115344		0x01	1	144	194
115457		0x01	1	1	195
116803		0x01	1	67	200
116870		0x01	1	134	200
117916		0x01	1	156	204
117927		0x01	1	167	204
118994		0x01	1	210	208
119037		0x01	1	253	208
120269		0x01	1	205	213
120464		0x1B	1	144	214
120958		0x01	1	126	216
121513		0x01	1	169	218
121544		0x01	1	200	218
121602		0x01	1	2	219
121740		0x01	1	140	219
121788		0x01	1	188	219
122554		0x01	1	186	222
123272		0x01	1	136	225
124938		0x01	1	10	232
125086		0x01	1	158	232
125351		0x01	1	167	233
126117		0x01	1	165	236
126476		0x01	1	12	238
126670		0x01	1	206	238
127757		0x01	1	13	243
128144		0x01	1	144	244
128712		0x01	1	200	246
129405		0x01	1	125	249
129512		0x01	1	232	249
129822		0x01	1	30	251
129889		0x01	1	97	251
130169		0x01	1	121	252
130462		0x01	1	158	253
130526		0x01	1	222	253
130659		0x01	1	99	254
130685		0x01	1	125	254
135087		0x01	2	175	15
139957		0x01	2	181	34
147279		0x01	2	79	63
147280		0x01	2	80	63
147497		0x01	2	41	64
150662		0x01	2	134	76
152002		0x01	2	194	81
155047		0x01	2	167	93
155833		0x01	2	185	96
155834		0x01	2	186	96
161633		0x1B	2	97	119
161634		0x15	2	98	119
161949		0x01	2	157	120
161950		0x01	2	158	120
162210		0x01	2	162	121
162226		0x01	2	178	121
164124		0x01	2	28	129
166010		0x01	2	122	136
168258		0x01	2	66	145
173107		0x01	2	51	164
173108		0x01	2	52	164
177603		0x01	2	195	181
179497		0x01	2	41	189
179498		0x01	2	42	189
181206		0x01	2	214	195
184702		0x01	2	126	209
185284		0x01	2	196	211
185377		0x01	2	33	212
185408		0x01	2	64	212
186831		0x01	2	207	217
186892		0x01	2	12	218
191092		0x01	2	116	234
191473		0x01	2	241	235
191474		0x01	2	242	235
192903		0x1F	2	135	241
194718		0x0D	2	158	248
204206		0x1F	3	174	29
205568		0x05	3	0	35
223143		0x01	3	167	103
223164		0x1F	3	188	103
232566		0x01	3	118	140
240281		0x1F	3	153	170
261668		0x01	3	36	254
